title,type,location,people,description
Redwood Materials,Materials & Manufacturing,Remote,251-500,"Our Redwood team is inventing circular supply chains to help build sustainable energy products and accelerate solutions that combat climate change. We’re acting boldly by innovating and working incredibly hard to scale processes and technology that help protect our planet and our future. Let’s celebrate this mission, our work, and our Earth, together."
Sila Nanotechnologies,Materials & Manufacturing,"Alameda, CA, USA",251-500,"We’re not just a materials science company. We’re a material solutions company. Every day, we work together to scale the energy storage breakthroughs that will fuel our electrified future. We dedicated our first 10 years to bringing a revolutionary lithium-ion chemistry to market. We’ll spend our next 10 scaling it to power billions of phones and millions of EVs."
thinkPARALLAX,Media & Journalism,Remote,11-50,"thinkPARALLAX is a leading full-service ESG strategy and communications agency.
We partner with influential companies across industries to drive meaningful sustainability progress, action, and conversation."
Texas Campaign for the Environment,Advocacy or Policy,"Texas, USA",11-50,"Our Mission: Empowering Texans to fight pollution through sustained grassroots organizing campaigns that shift corporate and governmental policy. We envision a Texas free from pollution. As the largest environmental group in Texas organizing support through door-to-door canvassing, grassroots is both who we are and what we do."
Taking Root,Carbon Removal Tech,Remote,11-50,We enable smallholder farmers to grow trees and earn money from the carbon they remove from the atmosphere. We do this by giving our reforestation partners the technology and support to create transparent and robust forest carbon removals.
Joulea,Energy,"Atlanta, GA, USA",11-50,"Joulea is a startup building a software platform that reduces energy consumption in commercial buildings. Buildings consume 40% of the total energy in the United States and emit over 10% more greenhouse gas emissions than the entire transportation sector combined - vehicles, trucks, aircraft, rail, and ships. A significant portion of commercial building budgets are spent and wasted on energy usage. We use the aerospace industry’s product lifecycle management principles in order to create a novel approach to apply them to commercial real estate. Joulea implements holistic, integrated optimization methods that redefine energy efficiency and reduce operating costs within commercial buildings. We are an ATDC portfolio company backed by wemarathon with offices at ATDC in Midtown Atlanta."
Momentum,Energy,"Sacramento, CA, USA",11-50,"Working at Momentum is not only about making a living. It’s also about making a difference in the world. We choose employees and consultants—and they choose us—because we share a profound commitment to improving the world we share. We know that the work we do improves national energy and water security, enhances global air and water quality, and leverages private investment while creating jobs and economic opportunities."
Plus Power,Energy,Remote,51-100,"Plus Power develops battery energy storage systems that enable a more efficient and reliable electrical grid.
The Plus Power team, led by seasoned executives from the renewables and energy storage industry, is accelerating the deployment of transmission-connected battery storage throughout the United States. With a mission to facilitate the changing energy landscape, Plus Power focuses on standalone battery energy storage systems that foster grid flexibility by providing capacity, energy and ancillary services as more renewable generation enters wholesale energy markets. Plus Power’s team applies an intentional mindset to energy storage development by prioritizing local relationships, optimal siting considerations and environmental stewardship. Proudly based in the USA, Plus Power has offices in Houston and San Francisco."
WattBuy,Energy,Remote,11-50,"WattBuy is a climate- first, personalized power company. We are on a mission to personalize power for conscious consumers. Our premise is that renewable energy should be more accessible and more affordable, and our vision is to decarbonize the grid by delivering clean electricity to every home on the planet."
EnCompass LLC,Advocacy or Policy,Remote,101-250,"EnCompass LLC is a women-owned, small business consulting firm working in International Development, and offering innovative and customized solutions for leadership, capacity strengthening, technical assistance, and monitoring and evaluation. We have experience in more than 70 countries and a team of more than 200 staff and 1,200 experts around the globe. We partner with government and multilateral agencies, nonprofit organizations, and corporations around the world, offering thought leadership, rich diversity, and technical expertise in global health, inclusive development, education, human rights, and food security. Founded in 1999, EnCompass began as a virtual organization supporting clients and implementing work through a network of staff and expert consultants. Today, we have more than 110 full-time staff and a Global Consulting Network, our vetted database of specialists, through which we engage, on average, 200 consultants each year. In early 2017, EnCompass opened its first international office in Addis Ababa for Transform: a Primary Health Care project. In 2019, we set up our second in-country office in Lima, Peru. In 2020, we added our second in-country offices, in Kyiv, Ukraine, and in 2021 we added our third and fourth in-country offices, in Beirut, Lebanon, and in Amman, Jordan. We maintain a full-time staff presence in Benin, Ethiopia, Germany, Great Britain, Peru, and Uganda."
Planet,Transportation,Remote,501-1000,Largest earth observation satellite network delivering a near-daily global dataset
The Building People,Energy,"Leesburg, VA, USA",101-250,"We are a global real estate and infrastructure leader delivering total life-cycle solutions for clients around the world. Our internationally recognized expertise is strengthened by a diverse group of specialists with decades of experience, a record of success among our clients, and innovative real estate solutions that integrate technology, buildings, and people to deliver the future of facilities today."
The Climate Board,Research & Education,"Washington D.C., DC, USA",11-50,"The Climate Board empowers the leaders of organizations to meet their climate commitments and ambitions. As a mission-driven B Corporation and leading membership organization, TCB provides insight on best practices, coupled with data and technology, to collaboratively tackle the immense challenges of climate change. TCB harnesses the collective knowledge and experience of its member organizations to drive reduced greenhouse gas emissions, manage the risks associated with climate change, and implement cutting edge climate solutions."
Do Tees,Materials & Manufacturing,United States,11-50,"Do Tees is a well-known brand of polo shirts and golf apparel. It is also one of the most cost-effective golf clothing stores in the United States, having been in business for many years. So, whether you're searching to buy polo shirts for women or golf outfits for men in USA , we are the ideal alternative for you at a reasonable price."
Ecogy Energy,Energy,Remote,11-50,"About Ecogy Energy: Ecogy was founded as a developer, financier, and owner-operator of distributed generation resources in 2010 with our first project for Longwood Gardens, the nation's largest botanical garden. Since then, we have found our niche specializing in financing distributed generation assets for traditionally underserved entities including affordable housing, non-profits, and municipalities. Our current portfolio comprises across 9 states, D.C., and the Caribbean and consist of mainly large rooftop, ground mount, and solar canopy projects."
"8 Rivers Capital, LLC",Energy,"Durham, NC, USA",11-50,"8 Rivers is a Durham, NC firm focused on the invention, development, and commercialization of sustainable, infrastructure-scale solutions to global problems through impactful technologies. The company maintains the agility, creativity, and fast-paced environment of a start-up, while partnering with large, industry-leading companies to develop and deploy those technologies. Our process enables us to innovate in industrial fields that are lacking in creative disruption. 8 Rivers has demonstrated expertise in generating and commercializing large-scale, meaningful solutions to some of the most challenging problems facing the world today and across a variety of industries in the clean energy, carbon capture, and clean fuels sectors.
The company innovates widely in adjacent markets in the clean tech space and is best known for inventing a zero-emission power production system, NET Power and the Allam-Fetvedt Cycle, which enables low-cost power production with inherent carbon capture, and 8RH2, our innovative clean hydrogen technology utilizing autothermal reforming to achieve 99% carbon capture. 8 Rivers recently announced a $100M investment from SK Group which accelerates and expands our deployment plans."
New York City Energy Efficiency Corporation (NYCEEC),Capital,"1359 Broadway, New York, NY, USA",11-50,"The New York City Energy Efficiency Corporation (NYCEEC), the country’s first not-for-profit local green bank, is a specialty financier of projects that save energy and reduce greenhouse gases.  NYCEEC’s team is passionate about its mission to deliver financing solutions and advance markets for energy efficiency and clean energy in buildings.  For more information: https://nyceec.com."
Metropolitan Group,Advocacy or Policy,"Portland, OR, USA",51-100,"Metropolitan Group brings more than 30 years of helping the world’s change agents create social impact. We are a full-service, strategic and creative agency that builds the power of voice and resources of the people, organizations and communities that drive social change. Since 1989, we’ve worked exclusively on behalf of social purpose, mission-driven organizations—some of the world’s leading nonprofits, foundations, public agencies and socially responsible businesses. For more information visit www.metgroup.com.
We are a certified B Corp and have been recognized by the independent nonprofit B Lab as being one of the top 10 percent of companies worldwide for social impact. Metropolitan Group has offices in Chicago, Portland, Oregon, San Francisco and Washington, D.C., and a sister company, Impacto Social Metropolitan Group, in Mexico City, Mexico.
Recent Clients Include: NASA, U.S. Fish & Wildlife Service, U.S. EPA, USDA Forest Service, U.S. Geological Service, Robert Wood Johnson Foundation, Kresge Foundation, Ford Foundation, Environmental Defense Fund, The Nature Conservancy, Rockefeller Foundation, Earthjustice and many other social impact organizations.
We offer a range of services within integrated practices: • Organizational Strategy and Innovation : Build visionary and actionable plans, support effective values-based organizational cultures, build capacity and skills—including equity, diversity and inclusion—facilitate implementation, and design evaluation and learning. • Strategic Communication : Connect with people’s core values to change narratives, build public will, and advocate for behavior, practice and policy change, brand social purpose organizations and promote new social norms. • Intercultural Engagement : Ensure resonance in communication, enable stakeholders to discover shared values, and exchange ideas and craft solutions together to change systems, policies and practices that lead to a just and equitable world. For more information visit www.metgroup.com."
thinkPARALLAX,Media & Journalism,Remote,11-50,"thinkPARALLAX is a leading full-service ESG strategy and communications agency.
We partner with influential companies across industries to drive meaningful sustainability progress, action, and conversation."
ndustrial.io,Energy,"Raleigh, NC, USA",11-50,"ndustrial was founded in 2011 to accelerate efficiency across industrial facilities. Our founders merged their experiences across Silicon Valley innovation, industrial engineering and computer science to build a real-time industrial intelligence platform that enables companies to gain new levels of insight into their business processes and energy intensity and then optimize and transform them for sustained competitive advantage.
Headquartered in Raleigh, NC, ndustrial’s customers span the globe. Come join one of the most impactful companies in its industry with investments from one of the largest utilities on the planet, ENGIE New Ventures, Clean Energy Ventures and the largest cold storage logistics companies in the world, Lineage Logistics. Our culture values a relentless customer first commitment to quality anchored in integrity and a startup mindset rooted in curiosity. Building a company and solving global challenges is hard work but our teamwork is sustained through humility and humor."
CrossBoundary,Energy,"Washington D.C., DC, USA",101-250,"CrossBoundary is a frontier and emerging markets investment firm. Our mission is to unlock the power of private capital to make a strong return and a lasting difference in underserved markets. Since our establishment in 2011, our advisory team has worked on investments across Africa, the Caribbean, Central and Southeast Asia, Eastern Europe, and the Middle East. We advise private equity funds, governments, impact investors, local enterprises, Development Finance Institutions, and development organizations seeking to raise or mobilize capital in frontier and emerging markets. We deliver this work on a commercial basis as well as through transaction-centered development projects for donors."
Northeast Energy Efficiency Partnerships (NEEP),Advocacy or Policy,Remote,11-50,"NEEP was founded in 1996 as a non-profit organization to accelerate energy efficiency in the Northeast and Mid-Atlantic region. We are one of six regional energy efficiency organizations funded, in part, by the U.S. Department of Energy to support state efficiency policies and programs. Our mission is to accelerate energy efficiency as an essential solution that enables a sustainable regional energy system and slows climate change. This supports our region’s long-term shared goal to reduce carbon emissions 80% by 2050. NEEP is based in Lexington, Massachusetts, with staff in locations around the region."
Planted Solar,Energy,"Oakland, CA, USA",11-50,"We are looking for world-class talent to tackle challenging projects that will rapidly power the planet with 100% clean energy.
First, the good news: Humans have installed a little over 1 TW of cumulative solar capacity over the last 20 years - solar is now the cheapest source of energy generation around the globe.
Now, the challenge: Humans have to build 1+ TW of solar capacity every year for the next 30+ years. We need to build new technology and overhaul how solar power is designed, developed, and built to make this happen.
And, we need help. We're expanding our team of curious, collaborative, and hands-on engineers and operators. Come own large parts of product, company, or business development and help make our big plans a reality!"
Muon Space,Research & Education,"Mountain View, CA, USA",11-50,Muon is developing the world’s most capable Earth-sensing satellite platform to power data-driven decisions in the Era of Climate Change.
"Arizona State University, Global Futures",Research & Education,"Tempe, AZ, USA",10000 +,-
Cambium Carbon,Materials & Manufacturing,Remote,11-50,"Thirty-six million trees fall in U.S. cities each year, more than all the salvageable wood in our national forests and they're often wasted and sent to landfills! At Cambium Carbon, we use technology to build local wood supply chains – we save fallen trees from landfills by connecting them to local sawyers and millers who can turn them into durable products storing carbon for generations and funding tree planting in communities that need them most. We're bringing manufacturing back to our cities to dramatically reduce climate impacts and create new green jobs."
King Energy,Energy,"California, USA",11-50,"King Energy is a well-funded, VC-backed renewable energy company that builds, owns, and operates solar infrastructure on multi-tenant properties.
We encourage occasional travel a few days a year to our headquarters in Durango, Colorado and San Luis Obispo, California; and we have two annual offsites. But that’s it in terms of travel.
We have all the good benefits, stock options, PTO, etc. and we welcome everyone equally.
King Energy was founded by ex-Tesla, SolarCity, Aura, Roofstock, and Vista Equity executives with multiple successful exits. We believe in experience and building talent from the ground up. So if you have experience in renewable energy, or you want to switch industries and be part of the solution to climate change then talk to us."
GTI,Energy,"Des Plaines, IL, USA",251-500,"Solving Important Energy Challenges and Creating Value in the Marketplace
GTI is the leading research, development and training organization addressing energy and environmental challenges to enable a secure, abundant, and affordable energy future. For more than 75 years, we have been providing economic value to the natural gas industry and energy markets by developing technology-based solutions for industry, government, and consumers.
Our research initiatives address issues impacting the natural gas and energy markets across the industry’s value chain—supply, delivery, and end use. We offer an integrated systems perspective to expand the supply of affordable energy, ensure a safe and reliable energy delivery infrastructure, and promote the efficient use of energy resources. To date, GTI programs have resulted in nearly 500 products, 750 licenses and more than 1,300 associated patents.
GTI is an independent technology organization, established as an Illinois not-for-profit corporation. We are tax-exempt under Section 501(c)(3) of the Internal Revenue Code."
Neighborhood Sun,Energy,"8455 Colesville Road, Silver Spring, MD...",11-50,"Neighborhood Sun is your friendly clean energy provider with a mission to provide everyone with affordable and clean community solar.
We believe that solar energy should be for everyone, not a privileged few."
ACEEE,Advocacy or Policy,Remote,51-100,"ACEEE, a 501(c)(3) nonprofit organization founded in 1980, develops transformative policies to reduce energy waste and combat climate change. With our independent analyses, we aim to build a vibrant and equitable economy that uses energy more productively, reduces costs, protects the environment, and promotes the health, safety, and well-being of everyone."
Komaza,"Food, Agriculture, & Land Use",Remote,101-250,"Welcome to Komaza, a company on a mission: to revive the productivity of degraded lands in the world’s most deforested areas. Revitalizing landscapes. Capturing carbon. And extending Earth’s runway to prevent global ecosystem collapse.
We partner with a massive network of smallholder farmers— the guardians of critical landscapes —to turn underutilized land into thriving microforests. Together, we can sustainably serve modern Africa’s increasing demand for wood and build a bridge to prosperity for generations to come.
We turn underutilized land into thriving microforests, connecting the dots from seeding to sawmill into one, integrated business.
Farmers provide the land, farming skills and security-and in exchange, we provide seedlings designed to grow in the world’s toughest conditions, an innovative tech platform to share step-by-step know-how & management, coordinated commercial log harvesting, and a ready market for the wood"
"Ceres, Inc.",Climate Adaptation,Remote,101-250,"Ceres advances leadership among investors, companies and capital market influencers to drive solutions and take action on the world's most pressing sustainability issues."
Logical Buildings,Energy,Remote,11-50,"Logical Buildings is an industry leading sustainability, smart building and virtual powerplant software and solutions provider for the built world. Our revolutionary technologies are combatting climate change by empowering residential, commercial, and industrial energy users to earn money, enhance building health and reduce carbon footprint, all from within user-friendly, award-winning mobile apps. Founded in 2012, the company now operates in major national urban markets, such as New York, Boston, Dallas, Los Angeles, San Francisco, Seattle, Washington, D.C., Camden, Chicago, and Miami, and more."
Southern Environmental Law Center (SELC),Advocacy or Policy,"Charlottesville, VA, USA",51-100,"The Southern Environmental Law Center is one of the nation’s most powerful defenders of the environment, rooted in the South. With a long track record, SELC takes on the toughest environmental challenges in court, in government, and in our communities to protect our region’s air, water, climate, wildlife, lands, and people. Nonprofit and nonpartisan, the organization has a staff of 170, including 90 attorneys, and is headquartered in Charlottesville, Va., with offices in Asheville, Atlanta, Birmingham, Chapel Hill, Charleston, Nashville, Richmond, and Washington, D.C.
SELC works in Congress and state legislatures to inform environmental laws; in regulatory agencies to implement environmental laws and policies; and in the courts to enforce the law, stop the worst abuses, and set important precedents. The organization works collaboratively with more than 100 national, state, and local groups to enhance their efficacy and achieve common conservation goals. Additional information regarding our work and staff is available at www.southernenvironment.org."
Modern Energy,Energy,"Durham, NC, USA",51-100,"Modern Energy® is a clean energy company that invests in, builds and operates energy transition businesses to help the world reach a net-zero carbon economy.
We are focused on being a “hundred-year company” where exceptional people can collectively make an outsized and lasting impact on climate change.
Our growing portfolio includes three fully-owned businesses delivering distributed energy solutions to customers and markets in the United States and Brazil.
As a certified B-Corp, Modern’s mission is affordable, reliable, sustainable energy for all. We are headquartered in Durham, North Carolina, and are privately held."
ecobee,Energy,Remote,501-1000,"Our Vision
Like any good guest, ecobee sees a place in your home as a privilege. We want to be welcomed in by solving everyday problems with comfort, security, and conservation solutions that work so well together, you invite us back again, and again. And the more homes we are in, the more we can do to help build a sustainable world.

Our impact

ecobee was founded with the goal of offering people smart home solutions that enable planet positive actions. We’ve made a lot of progress since then, but there’s still more work left to do. We need your help because the more we grow, the greener things get.
To date, ecobee thermostats have delivered over 20 TWh of energy savings. That’s like taking all the homes in Los Angeles off the grid or 3 million cars off the road for a year.
Better together for a better tomorrow.

ecobee believes our technology should be accessible to everyone. That’s why we partner with local housing organizations, cities, and NGOs to find effective ways to put our technology to work in the communities in need. A smart thermostat can mean saving on energy bills to those who need it most, without sacrificing the comfort of home.
Since 2018, our Income Qualified (IQ) program has distributed over 20,000 smart thermostats to improve comfort at home.
Thoughtful innovation

We don’t just innovate for innovation’s sake. Instead, we reimagine the everyday in ways that go beyond simple improvements to challenge the status quo. We strive to provide considerate solutions that adapt to your individual preferences so well that you hardly notice them. We want to change the way you interact with smart home technology."
National Association of Community Health Centers,Advocacy or Policy,"Alexandria, VA, USA",101-250,"We Are
The National Association of Community Health Centers is the national association serving and representing the interests of America's Community Health Centers. Our mission is to promote efficient, high quality, comprehensive health care that is accessible, culturally, and linguistically competent, community directed, and patient centered for all.
We Serve
Community Health Centers are not-for-profit providers of health care to over 29 million people, including health centers serving migrant and seasonal farmworkers, homeless and other special populations in urban and rural, public housing and school based settings. For over 50 years, health centers have been responsible for bringing physicians and other clinical providers and access to comprehensive primary and preventive health services into the nation's neediest and most isolated communities. Today, over 1,400 community, migrant and homeless health centers bring innovative programs in primary and preventative care to more than 12,000 urban and rural communities in every state, the District of Columbia, Puerto Rico and U.S. territory.
We therefore seek highly qualified and dedicated individuals to join our team and help to serve our mission. We are specifically looking to attract, develop and promote new generations of NACHC staff and leaders who will propel the Community Health Center movement into the future."
"Pearl Street Technologies, Inc",Energy,Remote,11-50,"Pearl Street Technologies, Inc. is an early-stage startup developing next-generation software for the electric utility industry. Based in Pittsburgh, PA and backed by VoLo Earth Ventures, Pear Venture Capital, Powerhouse Ventures, and more, we’re building tools to decarbonize the grid."
eIQ Mobility / NextEra Energy,Energy,Remote,11-50,"eIQ Mobility, a subsidiary of NextEra Energy Resources (NEER), is a data science and software company based in San Francisco, CA. eIQ Mobility is the leading software provider of fleet electrification solutions, building the most trusted platform that drives vehicle fleets into a smart, electric, and cost-effective future. eIQ Mobility was founded in 2018 in response to the unique roadblocks that corporate and public fleet leaders face in electrifying their vehicles, starting with identifying ‘where and how’ to electrify. Using its EValuate product, eIQ Mobility has assessed vehicles for EV feasibility for Fortune 500 companies, EV manufacturers, utilities and public fleets."
Environmental Integrity Project,Advocacy or Policy,"Washington, D.C., USA",11-50,"The Environmental Integrity Project is a 501 (c)(3) nonpartisan, nonprofit watchdog organization that advocates for effective enforcement of environmental laws. Comprised of former EPA enforcement attorneys, public interest lawyers, analysts, investigators, and community organizers, EIP has three goals:

To illustrate through objective facts and figures how the failure to enforce or implement environmental laws increases pollution and harms public health;
To hold federal and state agencies, as well as individual corporations, accountable for failing to enforce or comply with environmental laws; and
To help local communities obtain the protections of environmental laws.

We act as a watchdog because we have to. State and federal agencies charged with protecting the environment often are squeezed by limited resources and political interference from well-funded lobbyists hired by the industries they are required to regulate. We help level the playing field by giving communities the legal and technical resources they need to claim their rights under environmental laws.
Political influence should play no role when the government decides whether to enforce laws which keep cancer-causing benzene out of the lungs of children, for example, or deadly coal soot particles out of the bloodstreams of the elderly.
We do this by advocating for fair enforcement of environmental laws and regulations; writing and distributing reports and data; taking legal actions against big polluters and government agencies, when necessary; and by teaching communities how to participate in the public process regarding important state and federal environmental decisions."
Chloris Geospatial,Research & Education,"Boston, MA, USA",11-50,"The global economy urgently needs to transition to new models of operation that remove carbon from the atmosphere and preserve and restore natural capital.
Chloris Geospatial is an early-stage company developing technology that will transform the way businesses and governments use data about the environment to guide their investment and carbon management decisions. We use satellite data and artificial intelligence to create products that enable organizations to confidently invest in nature-based solutions, reduce their carbon footprint, and achieve their sustainability goals.
We are mission-driven and laser-focused on building best-in-class technology that has a positive impact and is commercially successful. The founding team has deep experience and is committed to helping organizations understand their impact and make the decisions that benefit their bottom line and the planet. We seek extraordinary individuals to join our team, help us build our technology stack and commercial product suite, and enable a global revolution."
Enertech Search,Energy,Remote,11-50,Climate tech roles for start-ups
Anaergia,Energy,Remote,101-250,"Anaergia was created to eliminate a major source of greenhouse gases by cost effectively turning organic waste into renewable natural gas (biomethane), fertilizer and water. With a proven track record of delivering world-leading projects on four continents, Anaergia is uniquely positioned to provide end-to-end solutions for extracting organics from waste, implementing high efficiency anaerobic digestion, upgrading biogas, producing fertilizer and cleaning water. Our customers are in the municipal solid waste, municipal wastewater, agriculture, and food processing industries. In each of these markets Anaergia has built many successful plants including some of the largest in the world.

We operate out of regional locations in the U.S., Canada, United Kingdom, Germany, Italy, South Africa, and Singapore."
"Tapestry at X, The Moonshot Factory",Energy,"Mountain View, CA, USA",5001-10000,"X is Alphabet’s moonshot factory. We are a diverse group of inventors and entrepreneurs who build and launch technologies that aim to improve the lives of millions, even billions, of people. Our goal: 10x impact on the world’s most intractable problems, not just 10% improvement. We approach projects that have the aspiration and riskiness of research with the speed and ambition of a startup.
Tapestry is a team within X working to rapidly decarbonize the electric grid. Our mission is to help create a shared understanding of what is happening on the grid for everyone who is involved in building, managing and using it.
https://x.company/blog/posts/tapestry-grid-moonshot/"
Renewable Properties,Energy,"San Francisco, CA, USA",11-50,"Renewable Properties specializes in developing and investing in small-scale utility and commercial solar energy projects throughout the United States. Led by experienced renewable energy professionals with development and investment experience, we work closely with communities, developers, landowners, utilities and financial institutions looking to invest in large solar energy systems.

The Renewable Properties’ team has deep connections throughout the commercial solar energy industry, and develops large solar projects for:
Landowners looking to lease land
Financial institutions making sustainable investments
Utilities interested in purchasing wholesale solar energy, and
Solar developers seeking project partners

Thanks to our size, experience, network, and understanding of market drivers, we have the ability to problem solve complex deals and arrive at unique win-win solutions for our clients, associates, and project partners."
Let's Green CA!,Advocacy or Policy,"California, USA",11-50,"Let’s Green CA! is part of The Romero Institute, a Santa Cruz-based nonprofit law and policy center with a 50-year legacy of winning justice for the people. Founders Danny Sheehan and Sara Nelson began their work together in the late 1970s, when Sheehan prosecuted the case effectively ending construction of new nuclear power plants in the United States (Silkwood v. Kerr-McGee).The Romero Institute also houses the Lakota People’s Law Project."
Toad&Co,Materials & Manufacturing,"Santa Barbara, CA, USA",11-50,"We’re big on enjoying the simple things in life, embracing the silly and letting go every once in a while. It keeps our spirits high and gives us the energy to focus on the things that matter, like empowering people with disabilities, sourcing the most sustainable materials, partnering with the cleanest factories and looking for new ways to do more with less.
From our California headquarters to our storefronts across the country, we do our part to be good neighbors everywhere you find Toad. You’ll find us volunteering with local non-profits, riding our bikes to work, cleaning up our coastline, and marching for the planet. You’ll find our name signed on petitions to support carbon caps, reduce fossil fuels and keep public lands public.
We’ve been named one of Outside Magazine’s Best Places to Work twelve years in a row and our annual Grilled Cheese Smackdown will go down in history as the cheesiest, most gourmet battle of humankind. We’re a bunch of dreamers and mountain movers that embrace every day as an adventure."
Archive Resale,Materials & Manufacturing,Remote,11-50,"Archive 's mission is to change consumer behavior for the better. If you think humans buy too much stuff and throw too much away, then this problem is for you. We’re starting with fashion and expanding from there.

Archive is building an ‘operating system for resale’ that delivers a customized online secondhand marketplace site and the underlying infrastructure and operations to plug into all of the other facets of a brand’s global resale strategy."
"University of the Pacific, California",Research & Education,"Berkeley, CA, USA",5001-10000,-
Climate Ad Project,Media & Journalism,"NJ-70, Marlton, NJ, USA",11-50,"Climate Ad Project is a non-profit organization creating entertaining short media to raise awareness around the dramatic climate emergency facing humanity. We contribute to a shared vision of environmental harmony and aim to move people into direct activism. Founded by NASA Climate Scientist Peter Kalmus , Climate Ad Project fuses the strongest available science with humor and storytelling to help counter the countless billions spent by the fossil fuel industry to spread climate disinformation and buy political influence."
Sust Global,Climate Adaptation,"San Francisco, CA, USA",11-50,"We are developing the foundational data and APIs to build the climate economy.
A leadership team of ex-Planet Labs, Orbital Insight, Trucost executives, building geospatially-enabled climate data that serves our customers across finance, enterprise corporate and the wider ecosystem."
Wildlife Works,Advocacy or Policy,"Mill Valley, CA 94941, USA",11-50,"Wildlife Works is an innovative wildlife conservation company that implements market-based initiatives to protect the planet’s threatened wilderness and endangered wildlife. The company was founded on the premise that if we want wildlife in our world, we have to make it work for local communities who share their environment. In partnership with forest communities, Wildlife Works’ conservation projects provide safe havens for endangered species while supporting local jobs and reducing millions of tonnes of carbon dioxide emissions annually through the REDD+ (Reducing Emissions from Deforestation and Degradation) marketplace. Recognized as a leader in the REDD+ sector, Wildlife Works is the first company to achieve verification under the Verified Carbon Standard (VCS) and the Climate Community and Biodiversity Standard (CCB)."
test,Energy,"DeFremery Park, Adeline Street, Oakland...",11-50,-
fwe,Materials & Manufacturing,"Fresno, CA, USA",11-50,-
Orange Silicon Valley,Materials & Manufacturing,"San Francisco, CA, USA",11-50,"Orange Silicon Valley is a US subsidiary of Orange, one of the world’s leading telecommunications operators, serving more than 259 million customers across 26 countries. Orange Silicon Valley is a passionate, forward-thinking team of experts who thrive by connecting ecosystems and making innovation and technology visible, accessible and actionable for a responsible digital world. For more than 20 years, Orange Silicon Valley has been providing strategic insights to the Orange Group worldwide leveraging a unique understanding of the US market. Orange Silicon Valley is headquartered in San Francisco with a regional office in New York. To learn more, please visit: www.orangesv.com."
Wildlife Conservation Society,Climate Adaptation,"Bronx, NY, USA",1001-5000,-
Boston Harbor Now,Advocacy or Policy,"Boston, MA, USA",11-50,"Organizational Overview Boston Harbor Now is a non-profit organization committed to equitable access, climate resiliency, and the Harbor's role in the health and economy of our region. As the legislated partner of the Boston Harbor Islands National and State Park and the City's partner for the Harborwalk, it encourages people to explore Boston’s waterfront and Islands by promoting and hosting hundreds of free and low-cost recreational, cultural and social events. BHN partners with the City of Boston and waterfront communities to prepare for sea level rise, while promoting outstanding waterfront open space with municipalities, DCR, and NPS, and partnering with the Mass Department of Transportation to develop and advance a Boston Harbor-wide water transportation plan for expanded ferry service. Boston Harbor Now also supports investment and innovation in Boston’s working port to better support our maritime economy. BHN’s vision is bold and requires a broad range of expertise, including planning, policy, business, operations, development, advocacy, communications and programming. A key part of our mission is ensuring our communities are protected from the impacts of our changing climate including sea level rise and storms while building a more welcoming waterfront. Current projects underway include: the Stone Living Lab – focused on finding nature-based solutions to sea level rise; the redevelopment of Long Wharf as a climate resilient water transportation gateway to the Harbor; development of Moakley Park, the City's largest waterfront park that will be a model for resilient park design serving some of those most in need of high quality recreation; and implementation of the Master Plan for Peddocks Island. For more information about Boston Harbor Now, please visit: www.bostonharbornow.org"
Climeco,Advocacy or Policy,United States,11-50,-
Climate Vault,Climate Adaptation,"Chicago, IL, USA",11-50,"The Climate Vault approach is one of the simplest ways to achieve net zero. Rather than trying to estimate the carbon reductions created by planting trees or distributing clean cookstoves, we can measure exactly how much carbon pollution we’re preventing, ton by ton.
At Climate Vault, we do this by purchasing carbon permits from cap-and-trade compliance markets and vaulting them so emitters can’t use them. Because the number of permits is capped, this decreases the amount of global carbon dioxide pollution allowed by government regulators.
Our purchases are based on how much carbon you’re aiming to offset. Whether you’re looking to reduce your footprint or get all the way to net zero, we can help you reach your goals quickly. And because we use existing markets, the cost is transparent, and your offset is easily verified. You’ll never be left wondering if your efforts created a real impact or not. In fact, your impact goes beyond carbon reductions to support carbon removal."
conservation.org,Coastal & Ocean Sinks,"Arlington, VA, USA",1001-5000,"Conservation International (CI) has been protecting nature for the benefit of all for over 30 years. Through science, policy, and partnerships, CI is helping build a healthier, more prosperous, and more productive planet."
Brightcore Energy,Energy,"Armonk, NY, USA",11-50,Our mission is to help our clients dramatically reduce their reliance on fossil fuels through a comprehensive approach to both energy efficiency and clean energy resources.  Our team is driven by a sincere desire to improve our clients' bottom line. We lead with our intellectual capital and invest our financial capital to accelerate the transition to a clean energy future.
Swift Solar,Energy,"San Carlos, CA, USA",11-50,"We’re building the future of solar. With our core technologies from Stanford, MIT, and NREL, we make better solar panels—lightweight, flexible, more efficient, and more affordable—so solar energy can do more to improve lives and fight climate change.
Swift Solar is a mission-focused startup funded by committed investors. We know it’s a long journey to take a new clean energy technology to market, and we’re in it for the long haul together."
Andes,Research & Education,"Emeryville, CA, USA",11-50,Andes empowers microbes to enable positive action against climate change.
